CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
015010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,"260 WEST WALNUT STREET,SYLACAUGA,AL,35150",2026-04-01,
015012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,"380 WOODS COVE ROAD,SCOTTSBORO,AL,35768",2026-04-01,
015015,PLANTATION MANOR NURSING HOME,6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111,"6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111",2026-04-01,
015016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,"611 WEST MARKET STREET,ATHENS,AL,35611",2026-04-01,
015019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,"280 MT HEBRON ROAD,ELMORE,AL,36025",2026-04-01,
015023,HATLEY HEALTH CARE INC,300 MEDICAL CENTER DRIVE,CLANTON,AL,35045,"300 MEDICAL CENTER DRIVE,CLANTON,AL,35045",2026-04-01,
015024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",1600 WEST HOBBS STREET,ATHENS,AL,35611,"1600 WEST HOBBS STREET,ATHENS,AL,35611",2026-04-01,
015027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,"1825 HOLTVILLE ROAD,WETUMPKA,AL,36092",2026-04-01,
015028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,"813 KELLER LANE,TUSCUMBIA,AL,35674",2026-04-01,
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,"805 FLAGG CIRCLE,FLORENCE,AL,35631",2026-04-01,
015032,DIVERSICARE OF FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,"1701 NORTH ALSTON STREET,FOLEY,AL,36535",2026-04-01,
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",3200 HUNTER CREEK RD,NORTHPORT,AL,35473,"3200 HUNTER CREEK RD,NORTHPORT,AL,35473",2026-04-01,
015044,"CAREGIVERS OF PLEASANT GROVE, INC",700 FIRST AVENUE,PLEASANT GROVE,AL,35127,"700 FIRST AVENUE,PLEASANT GROVE,AL,35127",2026-04-01,
015045,EAMC LANIER NURSING HOME,4800 48TH STREET,VALLEY,AL,36854,"4800 48TH STREET,VALLEY,AL,36854",2026-04-01,
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234,"1424 NORTH 25TH STREET,BIRMINGHAM,AL,35234",2026-04-01,
015048,CULLMAN HEALTH CARE CENTER,1607 MAIN AVE NE,CULLMAN,AL,35055,"1607 MAIN AVE NE,CULLMAN,AL,35055",2026-04-01,
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,101 VILLA DRIVE,DAPHNE,AL,36526,"101 VILLA DRIVE,DAPHNE,AL,36526",2026-04-01,
015050,OAK CREST HEALTH & WELLNESS,325 SELMA ROAD,BESSEMER,AL,35020,"325 SELMA ROAD,BESSEMER,AL,35020",2026-04-01,
015053,CLEBURNE COUNTY NURSING HOME,122 BROCKFORD ROAD,HEFLIN,AL,36264,"122 BROCKFORD ROAD,HEFLIN,AL,36264",2026-04-01,
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020,"4201 BESSEMER SUPER HIGHWAY,BESSEMER,AL,35020",2026-04-01,
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",601 JASMINE TRAIL,PRATTVILLE,AL,36066,"601 JASMINE TRAIL,PRATTVILLE,AL,36066",2026-04-01,
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653,"390 UNDERWOOD ROAD,RUSSELLVILLE,AL,35653",2026-04-01,
015067,COTTAGE OF THE SHOALS,500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674,"500 JOHN ALDRIDGE DRIVE,TUSCUMBIA,AL,35674",2026-04-01,
015075,"SUMMERFORD HEALTH AND REHAB, LLC",4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622,"4087 HIGHWAY 31 SOUTHWEST,FALKVILLE,AL,35622",2026-04-01,
015076,FAIR HAVEN,1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210,"1424 MONTCLAIR ROAD,BIRMINGHAM,AL,35210",2026-04-01,
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217,"200 NORTH PINE HILL ROAD,BIRMINGHAM,AL,35217",2026-04-01,
015097,"SOUTH HEALTH AND REHABILITATION, LLC",1220 SOUTH 17TH STREET,BIRMINGHAM,AL,35205,"1220 SOUTH 17TH STREET,BIRMINGHAM,AL,35205",2026-04-01,
015098,ALLEN HEALTH AND REHABILITATION,735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603,"735 SOUTH WASHINGTON AVENUE,MOBILE,AL,36603",2026-04-01,
015100,CROWNE HEALTH CARE OF MOBILE,954 NAVCO ROAD,MOBILE,AL,36605,"954 NAVCO ROAD,MOBILE,AL,36605",2026-04-01,
015101,ALTOONA  HEALTH & REHAB,6532 WALNUT GROVE ROAD,ALTOONA,AL,35952,"6532 WALNUT GROVE ROAD,ALTOONA,AL,35952",2026-04-01,
015104,SOUTHLAND NURSING HOME,500 SHIVERS TERRACE,MARION,AL,36756,"500 SHIVERS TERRACE,MARION,AL,36756",2026-04-01,
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",1201 22ND STREET NORTH,BIRMINGHAM,AL,35234,"1201 22ND STREET NORTH,BIRMINGHAM,AL,35234",2026-04-01,
015111,DIVERSICARE OF BIG SPRINGS,500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801,"500 ST. CLAIR AVENUE SOUTHWEST,HUNTSVILLE,AL,35801",2026-04-01,
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,603 WRIGHT STREET,TUSKEGEE,AL,36083,"603 WRIGHT STREET,TUSKEGEE,AL,36083",2026-04-01,
015113,RIVER CITY CENTER,1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601,"1350 FOURTEENTH AVENUE SOUTHEAST,DECATUR,AL,35601",2026-04-01,
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",70 HIGHLAND STREET WEST,CORDOVA,AL,35550,"70 HIGHLAND STREET WEST,CORDOVA,AL,35550",2026-04-01,
015116,ROCKET CITY REHABILITATION AND HEALTHCARE CENTER,105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801,"105 TEAKWOOD DRIVE SW,HUNTSVILLE,AL,35801",2026-04-01,
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204,"824 SIXTH AVENUE WEST,BIRMINGHAM,AL,35204",2026-04-01,
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,11 BELL ROAD,SELMA,AL,36701,"11 BELL ROAD,SELMA,AL,36701",2026-04-01,
015120,"NHC HEALTHCARE, ANNISTON",2300 COLEMAN RD,ANNISTON,AL,36207,"2300 COLEMAN RD,ANNISTON,AL,36207",2026-04-01,
015123,WASHINGTON COUNTY NURSING HOME,14600 ST STEPHENS AVENUE,CHATOM,AL,36518,"14600 ST STEPHENS AVENUE,CHATOM,AL,36518",2026-04-01,
015124,CLAY COUNTY NURSING HOME,83825 HIGHWAY 9,ASHLAND,AL,36251,"83825 HIGHWAY 9,ASHLAND,AL,36251",2026-04-01,
015126,TRAYLOR RETIREMENT COMMUNITY,1235 YANCEY STREET,ROANOKE,AL,36274,"1235 YANCEY STREET,ROANOKE,AL,36274",2026-04-01,
015128,"NHC HEALTHCARE, MOULTON",300 HOSPITAL STREET,MOULTON,AL,35650,"300 HOSPITAL STREET,MOULTON,AL,35650",2026-04-01,
015132,DIVERSICARE OF OXFORD,1130 SOUTH HALE STREET,OXFORD,AL,36203,"1130 SOUTH HALE STREET,OXFORD,AL,36203",2026-04-01,
015133,MAGNOLIA RIDGE,420 DEAN DRIVE,GARDENDALE,AL,35071,"420 DEAN DRIVE,GARDENDALE,AL,35071",2026-04-01,
015135,JOHN KNOX MANOR INC  I I,4401 NARROW LANE ROAD,MONTGOMERY,AL,36116,"4401 NARROW LANE ROAD,MONTGOMERY,AL,36116",2026-04-01,
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,10 WEST 3RD STREET,FALKVILLE,AL,35622,"10 WEST 3RD STREET,FALKVILLE,AL,35622",2026-04-01,
015138,HENDRIX HEALTH AND REHABILITATION,1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553,"1000 HIGHWAY 33,DOUBLE SPRINGS,AL,35553",2026-04-01,
015141,ARBOR WOODS HEALTH AND REHAB,515 2ND AVENUE NORTHWEST,REFORM,AL,35481,"515 2ND AVENUE NORTHWEST,REFORM,AL,35481",2026-04-01,
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",88073 HIGHWAY 9,LINEVILLE,AL,36266,"88073 HIGHWAY 9,LINEVILLE,AL,36266",2026-04-01,
015144,THE HEALTHCARE CENTER AT BUCK CREEK,"850 9TH STREET, NORTHWEST",ALABASTER,AL,35007,"850 9TH STREET, NORTHWEST,ALABASTER,AL,35007",2026-04-01,
015145,DIVERSICARE OF RIVERCHASE,2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244,"2500 RIVERHAVEN DRIVE,BIRMINGHAM,AL,35244",2026-04-01,
015147,GLENWOOD CENTER,211 ANA DRIVE,FLORENCE,AL,35630,"211 ANA DRIVE,FLORENCE,AL,35630",2026-04-01,
015149,SUNSET MANOR,251 SUNSET PLACE,GUIN,AL,35563,"251 SUNSET PLACE,GUIN,AL,35563",2026-04-01,
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,1200 MAPLE AVENUE WEST,GENEVA,AL,36340,"1200 MAPLE AVENUE WEST,GENEVA,AL,36340",2026-04-01,
015152,EXTENDICARE HEALTH AND REHAB,950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302,"950 SOUTH ST. ANDREWS STREET,DOTHAN,AL,36302",2026-04-01,
015159,DIVERSICARE OF ONEONTA,215 VALLEY ROAD,ONEONTA,AL,35121,"215 VALLEY ROAD,ONEONTA,AL,35121",2026-04-01,
015162,"TALLADEGA HEALTHCARE CENTER, INC",616 CHAFFEE STREET,TALLADEGA,AL,35160,"616 CHAFFEE STREET,TALLADEGA,AL,35160",2026-04-01,
015163,ALBERTVILLE NURSING HOME,750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950,"750 ALABAMA HIGHWAY 75 NORTH,ALBERTVILLE,AL,35950",2026-04-01,
015168,LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,1655 MCGILL AVENUE,MOBILE,AL,36604,"1655 MCGILL AVENUE,MOBILE,AL,36604",2026-04-01,
015169,"FLORENCE NURSING AND REHABILITATION CTR,  LLC",2107 CLOYD BLVD,FLORENCE,AL,35630,"2107 CLOYD BLVD,FLORENCE,AL,35630",2026-04-01,
015174,COOSA VALLEY HEALTH AND REHAB,513 PINEVIEW AVENUE,GLENCOE,AL,35905,"513 PINEVIEW AVENUE,GLENCOE,AL,35905",2026-04-01,
015175,WESLEY PLACE ON HONEYSUCKLE,718 HONEYSUCKLE ROAD,DOTHAN,AL,36305,"718 HONEYSUCKLE ROAD,DOTHAN,AL,36305",2026-04-01,
015176,"CROSSVILLE HEALTH AND REHABILITATION, LLC",8922 HIGHWAY 227,CROSSVILLE,AL,35962,"8922 HIGHWAY 227,CROSSVILLE,AL,35962",2026-04-01,
015177,WOODHAVEN MANOR NURSING HOME,105 WEST WINDSOR ST,DEMOPOLIS,AL,36732,"105 WEST WINDSOR ST,DEMOPOLIS,AL,36732",2026-04-01,
015178,GREENE COUNTY NURSING HOME,509 WILSON AVE,EUTAW,AL,35462,"509 WILSON AVE,EUTAW,AL,35462",2026-04-01,
015179,PARKWOOD HEALTH CARE FACILITY,3301 STADIUM DRIVE,PHENIX CITY,AL,36867,"3301 STADIUM DRIVE,PHENIX CITY,AL,36867",2026-04-01,
015182,"GEORGIANA HEALTH AND REHABILITATION, LLC",206 PALMER AVENUE,GEORGIANA,AL,36033,"206 PALMER AVENUE,GEORGIANA,AL,36033",2026-04-01,
015183,PINE HAVEN REHABILITATION AND WELLNESS CENTER,4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613,"4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613",2026-04-01,
015184,CLOVERDALE REHABILITATION AND NURSING CENTER,412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768,"412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768",2026-04-01,
