CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
015009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,"701 MONROE STREET NW,RUSSELLVILLE,AL,35653",2026-04-01,info@guidingpatients.com
015014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,"7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206",2026-04-01,info@ballhealth.com
015035,WEST GATE VILLAGE,100 PINEVIEW AND THIRD,BREWTON,AL,36427,"100 PINEVIEW AND THIRD,BREWTON,AL,36427",2026-04-01,info@anha.org
015040,DIVERSICARE OF MONTGOMERY,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106,"2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106",2026-04-01,meg@soignenashville.com
015042,"SUMTER HEALTH AND REHABILITATION, L L C",1505 EAST 4TH AVENUE,YORK,AL,36925,"1505 EAST 4TH AVENUE,YORK,AL,36925",2026-04-01,"consumerfeedback@aplaceformom.com,meg@soignenashville.com"
015063,DIVERSICARE OF BOAZ,600 CORLEY AVENUE,BOAZ,AL,35957,"600 CORLEY AVENUE,BOAZ,AL,35957",2026-04-01,"diversicaremarketing@gmail.com,meg@soignenashville.com"
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,705 GANDY STREET NE,RUSSELLVILLE,AL,35653,"705 GANDY STREET NE,RUSSELLVILLE,AL,35653",2026-04-01,"info@arabellahcpn.com,info@arabellahcsm.com,info@arabellahcbt.com"
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",420 MAIN STREET NE,HANCEVILLE,AL,35077,"420 MAIN STREET NE,HANCEVILLE,AL,35077",2026-04-01,meg@soignenashville.com
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",987 DRAYTON STREET,ELBA,AL,36323,"987 DRAYTON STREET,ELBA,AL,36323",2026-04-01,therapy@tarahc.com
015084,PARK PLACE,100 PARK PLACE,SELMA,AL,36701,"100 PARK PLACE,SELMA,AL,36701",2026-04-01,diversicaremarketing@gmail.com
015089,EVERGREEN NURSING HOME,100 SANDERS DRIVE,EVERGREEN,AL,36401,"100 SANDERS DRIVE,EVERGREEN,AL,36401",2026-04-01,info@anha.org
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",148 TUSCALOOSA ST,MOBILE,AL,36607,"148 TUSCALOOSA ST,MOBILE,AL,36607",2026-04-01,meg@soignenashville.com
015114,SHADESCREST HEALTH CARE CENTER,331 WEST 25TH STREET,JASPER,AL,35502,"331 WEST 25TH STREET,JASPER,AL,35502",2026-04-01,cmumpower@shadescrest.com
015121,CROWNE HEALTH CARE OF CITRONELLE,19225 NORTH 4TH STREET,CITRONELLE,AL,36522,"19225 NORTH 4TH STREET,CITRONELLE,AL,36522",2026-04-01,dweaver@crownehealthcare.com
015127,BROOKSHIRE HEALTHCARE CENTER,4320 JUDITH LANE,HUNTSVILLE,AL,35805,"4320 JUDITH LANE,HUNTSVILLE,AL,35805",2026-04-01,phpprcontactus@providence.org
015129,ATMORE NURSING CENTER,715 EAST LAUREL STREET,ATMORE,AL,36502,"715 EAST LAUREL STREET,ATMORE,AL,36502",2026-04-01,info@crownehealthcare.com
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,733 MARY VANN LANE,BIRMINGHAM,AL,35215,"733 MARY VANN LANE,BIRMINGHAM,AL,35215",2026-04-01,meg@soignenashville.com
015137,ALICEVILLE MANOR NURSING HOME,703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442,"703 17TH STREET NORTHWEST,ALICEVILLE,AL,35442",2026-04-01,info@anha.org
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",2639 GILMER AVENUE,TALLASSEE,AL,36078,"2639 GILMER AVENUE,TALLASSEE,AL,36078",2026-04-01,meg@soignenashville.com
015143,FOREST MANOR HEALTH AND REHAB,2215 32ND STREET,NORTHPORT,AL,35476,"2215 32ND STREET,NORTHPORT,AL,35476",2026-04-01,info@forestmanorhealth.com
015148,DIVERSICARE OF ARAB,235 THIRD STREET SE,ARAB,AL,35016,"235 THIRD STREET SE,ARAB,AL,35016",2026-04-01,diversicaremarketing@gmail.com
015151,ARABELLA HEALTH & WELLNESS OF MOBILE,1758 SPRINGHILL AVE,MOBILE,AL,36607,"1758 SPRINGHILL AVE,MOBILE,AL,36607",2026-04-01,info@arabellahcmo.com
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,"1020 TUSCALOOSA AVENUE, SW",BIRMINGHAM,AL,35211,"1020 TUSCALOOSA AVENUE, SW,BIRMINGHAM,AL,35211",2026-04-01,info@ballhealth.com
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,"1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555",2026-04-01,consumerfeedback@aplaceformom.com
015155,"RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE",JASPER,AL,35504,"907 11TH STREET, NE,JASPER,AL,35504",2026-04-01,consumerfeedback@aplaceformom.com
015156,CROWNE HEALTH CARE OF FT PAYNE,403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967,"403 13TH STREET NORTHWEST,FORT PAYNE,AL,35967",2026-04-01,consumerfeedback@aplaceformom.com
015157,HALEYVILLE HEALTH CARE CENTER,2201 11TH AVENUE,HALEYVILLE,AL,35565,"2201 11TH AVENUE,HALEYVILLE,AL,35565",2026-04-01,haleyvillechamberofcommerce@gmail.com
015158,DIVERSICARE OF MARION,505 EAST LAFAYETTE STREET,MARION,AL,36756,"505 EAST LAFAYETTE STREET,MARION,AL,36756",2026-04-01,"phpprcontactus@providence.org,meg@soignenashville.com"
015160,SYLACAUGA HEALTH AND REHAB SERVICES,1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150,"1007 W FORT WILLIAMS ST,SYLACAUGA,AL,35150",2026-04-01,meg@soignenashville.com
015164,ARABELLA HEALTH & WELLNESS OF BUTLER,1406 EAST PUSHMATAHA STREET,BUTLER,AL,36904,"1406 EAST PUSHMATAHA STREET,BUTLER,AL,36904",2026-04-01,info@arabellahcm.com
015166,DADEVILLE HEALTHCARE CENTER,351 NORTH EAST STREET,DADEVILLE,AL,36853,"351 NORTH EAST STREET,DADEVILLE,AL,36853",2026-04-01,info@dadevillehealthcare.net
015167,MARION REGIONAL NURSING HOME,184 SASSER DRIVE,HAMILTON,AL,35570,"184 SASSER DRIVE,HAMILTON,AL,35570",2026-04-01,consumerfeedback@aplaceformom.com
015171,SOUTHERN SPRINGS HEALTHCARE FACILITY,745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089,"745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089",2026-04-01,customercare@silverts.com
015180,GADSDEN HEALTH AND REHAB CENTER,1945 DAVIS DRIVE,GADSDEN,AL,35904,"1945 DAVIS DRIVE,GADSDEN,AL,35904",2026-04-01,bills@gadsdenhealthcare.com
015191,BROWN NURSING HOME,2334 WASHINGTON STREET,ALEXANDER CITY,AL,35010,"2334 WASHINGTON STREET,ALEXANDER CITY,AL,35010",2026-04-01,cecily.lee@crownehealthcare.com
015201,"GENERATIONS OF RED BAY, LLC",106 TENTH AVENUE NORTHWEST,RED BAY,AL,35582,"106 TENTH AVENUE NORTHWEST,RED BAY,AL,35582",2026-04-01,info@genmanco.com
015204,GOODWATER HEALTHCARE CENTER,16 JONES HILL ROAD,GOODWATER,AL,35072,"16 JONES HILL ROAD,GOODWATER,AL,35072",2026-04-01,info@goodwaterhealthcare.com
015206,DECATUR HEALTH & REHAB CENTER,2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603,"2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603",2026-04-01,clewis@usahealthcare.net
015220,CROWNE HEALTH CARE OF THOMASVILLE,1425 MOSLEY DRIVE,THOMASVILLE,AL,36784,"1425 MOSLEY DRIVE,THOMASVILLE,AL,36784",2026-04-01,dogatlin@crownehealthcare.com
015221,"CHAPMAN HEALTHCARE CENTER, INC",3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010,"3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010",2026-04-01,consumerfeedback@aplaceformom.com
015225,BARFIELD HEALTH CARE,22444 HIGHWAY 431,GUNTERSVILLE,AL,35976,"22444 HIGHWAY 431,GUNTERSVILLE,AL,35976",2026-04-01,"fb@barfieldhealthcare.net,info@anha.org"
015227,"GENERATIONS OF VERNON, LLC",1050 CONVALESCENT ROAD,VERNON,AL,35592,"1050 CONVALESCENT ROAD,VERNON,AL,35592",2026-04-01,info@genmanco.com
015303,ARABELLA HEALTH & WELLNESS OF BIRMINGHAM,1028 BESSEMER RD,BIRMINGHAM,AL,35228,"1028 BESSEMER RD,BIRMINGHAM,AL,35228",2026-04-01,info@arabellahcbr.com
015320,ENTERPRISE HEALTH & REHABILITATION CENTER,300 PLAZA DRIVE,ENTERPRISE,AL,36331,"300 PLAZA DRIVE,ENTERPRISE,AL,36331",2026-04-01,admin@ehrc.health
015331,ARABELLA HEALTH & WELLNESS OF PHENIX CITY,3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867,"3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867",2026-04-01,"info@arabellahcrw.com,info@arabellahcmo.com,info@arabellahcpn.com,info@arabellahcmt.com,info@arabellahcrv.com"
015361,LAUDERDALE CHRISTIAN NURSING HOME,2019 COUNTY ROAD 394,KILLEN,AL,35645,"2019 COUNTY ROAD 394,KILLEN,AL,35645",2026-04-01,"aparker@lcnh.org,kgeorge@lcnh.org,bpettus@lcnh.org"
015371,HERITAGE HEALTH CARE & REHAB INC,1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406,"1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406",2026-04-01,consumerfeedback@aplaceformom.com
015375,ANNISTON HEALTH AND REHAB SERVICES,600 E 8TH STREET,ANNISTON,AL,36207,"600 E 8TH STREET,ANNISTON,AL,36207",2026-04-01,meg@soignenashville.com
015379,MOBILE NURSING AND REHABILITATION CENTER,7020 BRUNS DRIVE,MOBILE,AL,36695,"7020 BRUNS DRIVE,MOBILE,AL,36695",2026-04-01,therapy@tarahc.com
015390,CAPITOL HILL HEALTHCARE CENTER,520 SOUTH HULL STREET,MONTGOMERY,AL,36104,"520 SOUTH HULL STREET,MONTGOMERY,AL,36104",2026-04-01,reviews@seniorhomes.com
015396,DIVERSICARE OF GREENSBORO,616 ARMORY STREET,GREENSBORO,AL,36744,"616 ARMORY STREET,GREENSBORO,AL,36744",2026-04-01,"phpprcontactus@providence.org,sarah.hallmark@projecthsf.org"
015402,EL REPOSO NURSING FACILITY,260 MILNER CHAPEL ROAD,FLORENCE,AL,35634,"260 MILNER CHAPEL ROAD,FLORENCE,AL,35634",2026-04-01,meg@soignenashville.com
015404,BARON HOUSE OF HUEYTOWN,190 BROOKLANE DRIVE,HUEYTOWN,AL,35023,"190 BROOKLANE DRIVE,HUEYTOWN,AL,35023",2026-04-01,diversicaremarketing@gmail.com
015407,HEALTH CARE INC,38286 US HIGHWAY 231,ASHVILLE,AL,35953,"38286 US HIGHWAY 231,ASHVILLE,AL,35953",2026-04-01,"customercare@silverts.com,info@guidingpatients.com"
015413,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,2911 EARL GOODWIN PARKWAY,SELMA,AL,36703,"2911 EARL GOODWIN PARKWAY,SELMA,AL,36703",2026-04-01,info@ballhealth.com
015416,ANDALUSIA MANOR,670 MOORE RD,ANDALUSIA,AL,36420,"670 MOORE RD,ANDALUSIA,AL,36420",2026-04-01,amills@andalusiamanor.org
015419,HARTFORD HEALTH CARE,217 TORO ROAD,HARTFORD,AL,36344,"217 TORO ROAD,HARTFORD,AL,36344",2026-04-01,diversicaremarketing@gmail.com
015424,ROANOKE REHABILITATION & HEALTHCARE CENTER,680 SEYMOUR DRIVE,ROANOKE,AL,36274,"680 SEYMOUR DRIVE,ROANOKE,AL,36274",2026-04-01,info@ballhealth.com
015453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",22969 HIGHWAY 25,COLUMBIANA,AL,35051,"22969 HIGHWAY 25,COLUMBIANA,AL,35051",2026-04-01,meg@soignenashville.com
015456,"GULF COAST HEALTH AND REHABILITATION, LLC",8002 GRELOT ROAD,MOBILE,AL,36695,"8002 GRELOT ROAD,MOBILE,AL,36695",2026-04-01,meg@soignenashville.com
015458,THE HEALTH CENTER AT RESEARCH PARK,5275 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806,"5275 MILLENNIUM DRIVE,HUNTSVILLE,AL,35806",2026-04-01,contact-researchpark@ensignservices.net
015459,GALLERIA WOODS SKILLED NURSING FACILITY,3850 GALLERIA WOODS DRIVE,BIRMINGHAM,AL,35244,"3850 GALLERIA WOODS DRIVE,BIRMINGHAM,AL,35244",2026-04-01,phpprcontactus@providence.org
015461,LEGACY HEALTH AND REHABILITATION OF PLEASANT GROVE,30 7TH STREET,PLEASANT GROVE,AL,35127,"30 7TH STREET,PLEASANT GROVE,AL,35127",2026-04-01,meg@soignenashville.com
01A208,MONTGOMERY CHILDREN'S SPECIALTY CENTER,2853 FORBES DRIVE,MONTGOMERY,AL,36110,"2853 FORBES DRIVE,MONTGOMERY,AL,36110",2026-04-01,montgomery@tutera.com
025020,Denali Center,1510 19TH AVENUE,FAIRBANKS,AK,99701,"1510 19TH AVENUE,FAIRBANKS,AK,99701",2026-04-01,"info@explorefairbanks.com,consumerfeedback@aplaceformom.com"
025034,PROVIDENCE VALDEZ MEDICAL CENTER,911 MEALS AVENUE,VALDEZ,AK,99686,"911 MEALS AVENUE,VALDEZ,AK,99686",2026-04-01,"phpprcontactus@providence.org,communications@valdezak.gov"
025039,MAPLE SPRINGS OF PALMER,12130 EAST MAPLE SPRINGS WAY,PALMER,AK,99645,"12130 EAST MAPLE SPRINGS WAY,PALMER,AK,99645",2026-04-01,info@palmerchamber.org
035003,The Terraces of Phoenix,7550 NORTH 16TH STREET,PHOENIX,AZ,85020,"7550 NORTH 16TH STREET,PHOENIX,AZ,85020",2026-04-01,consumerfeedback@aplaceformom.com
035004,Santa Rosa Care Center,1650 NORTH SANTA ROSA AVENUE,TUCSON,AZ,85712,"1650 NORTH SANTA ROSA AVENUE,TUCSON,AZ,85712",2026-04-01,"contact-santarosa@ensignservices.net,info@altcs.org"
035014,Desert Terrace Healthcare Center,2509 NORTH 24TH STREET,PHOENIX,AZ,85008,"2509 NORTH 24TH STREET,PHOENIX,AZ,85008",2026-04-01,contact-desertterrace@ensignservices.net
035016,HANDMAKER HOME FOR THE AGING,2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712,"2221 NORTH ROSEMONT BOULEVARD,TUCSON,AZ,85712",2026-04-01,consumerfeedback@aplaceformom.com
035059,HAVEN OF SCOTTSDALE,3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251,"3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251",2026-04-01,info@altcs.org
035064,FOOTHILLS REHABILITATION CENTER,2250 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712,"2250 NORTH CRAYCROFT ROAD,TUCSON,AZ,85712",2026-04-01,"rhensler@azbn.gov,administrator@foothillsrehab.com"
